idPitanja,Pitanje,a,b,c,d
1,Insekti (Insecta) dišu na?,Pluća,Pluća i traheje,Traheje*,Škrge
2,Pri monohibridnom nasleđivanju sa poptunom dominacijom u F2 generaciji dobijeno potomostvo ima?,Isti fenotip,Tri različita genotipa*,Tri različita fenotipa,Isti genotip i fenotip
3,Provodni elementi kod četinara su?,Traheje,Traheide*,Traheje i traheide,Sitaste cevi
4,Osnovna funkcija mišićnog sistema kičmenjaka (Vertebrata) je?,Pokretanje ogranizama i njihovih delova*,Prenos nadražaja od čulnih organa do organa koji reaguju,Varenje hrane,Razmnožavanje
5,Krebsov ciklus se odvija u?,Jedru,Mitohondriji*,Ribozomima,Vaukolama
6,Segregacija fenotipa u F2 generaciji kod monohibridnog nasleđivanja sa potpunom dominacijom je?,1 : 2 : 1,3 : 1*,1 : 1,1 : 1 : 1
7,Nauka koja se bavi proučavanjem ptica naziva se?,Ornistologija*,Entomologija,Mikrobiologija,Akarologija
8,U dvomembranske organele ćelije spadaju?,Plastidi i endoplazmatični retikulum,Plastidi i mitohondrije*,Mitohondije i Goldžijev aparat,Jedro i Vakuole
9,U ćeliji hromozomi se nalaze u?,Citoplazmi,Jedru*,Jedarcetu,Mitohondrijama
10,Telo bilateralo simetričnih životinja može se podeliti na dva jednaka dela?,Sa jednom ravni simetrije*,Sa dve ravni simetrije,Sa tri ravni simetrije,Sa više ravni simetrije
11,Primarni rast stabla odvija se radom?,Apikalnog meristema*,Kambijalnog meristema,Traumatičnog meristema,Interkalarnog meristema
12,Genotip predstavlja?,Skup svih gena u jednoj ćeliji*,Skup svih hromozoma u jednoj ćeliji,Skup svih gena u jednom hromozomu,Skup svih ćelija
13,Telo insekata (Incesta) se deli na sledeće telesne regione?,"Glavu, grudi i trbuh*",Glavu i trup,Glavenogrudni i trbušni deo,Glavu i trbuh
14,Kolenhim pripada?,Provodonom tkivu,Mehaničkom tkivu*,Zaštitnom tkivu,Tkivu za lučenje
15,Pri dihibridnom ukrštanju sa potpunom dominacijom roditeljske individue obrazuje po?,Jedan tip gameta,Dva tipa gameta,Tri tipa gameta,Četiri tipa gameta*
16,Stonoge (Myriapoda) imaju?,Jedan par pipaka*,Dva para pipaka,Više pari pipaka,Nemaju pipke
17,U svetloj fazi fotosinteze vrši se?,Aktiviranje hlorofila pomoću energije Sunčevih zraka*,Obrazovanje složenih organskih jedinjenja veoma bogatih organskom energijom,Redukcija CO2,Redukcija kiseonika
18,Polne ćelije se odlikuju?,Tetraploidnim brojem hromozoma,Diploidnim brojem hromozoma,Triploidnim brojem hromozoma,Haploidnim brojem hromozoma*
19,Telesni zid sunđera (Porifera) se sastoji od?,Jednog sloja ćelija,Dva sloja ćelija,Tri sloja ćelija*,Četiri sloja ćelije
20,Delecija i duplikacija spadaju u?,Mutacije strukture hromozoma*,Mutacije broja hromozoma,Mutacije genotipa,Mutacije gena
21,Osnovna sistematka jedinica je?,Rod,Vrsta*,Familija,Red
22,Heteroploidija spada u?,Mutacije genoma*,Mutacije strukture hromozoma,Mutacije gena,Vanhromozomske mutacije
23,Lokus je?,Longitudinalna subjedinica hromozoma,Mesto na hromozomu na kome se nalazi određeni gen*,Primarno suženje na hromozomu,Sekundarno suženje hromozoma
24,Binarni sistem nomenklature uveo je?,Luj Paster,Čarls Darvin,Karl Line*,Josif Pančić
25,U ćeliji ribozomi predstavljaju centre sinteze?,Masti,Belančevina*,Celuloze,Skroba
26,Mollusca (Mekušci) su?,Asimetrične životinje,Bilateralno simetrične životinje*,Radijalno simetrične životinje,Sferične životinje
27,Plastidi su organele koje se nalaze u ćelijama?,Biljaka*,Životinja,Biljaka i životinja,Gljiva
28,Provodno tkivo u listu grade sudovni snopići?,Radijalni,Kolateralni*,Koncetrični,Bikolateralni
29,Predstavnici reda Acarina (krpelji i grinje) spadaju u klasu?,Incesta (Insekti),Myriapoda (Stonoge),Arachnida (pauci)*,Crustacea (Rakovi)
30,Klas spada u?,Cvast dihazija,Racemozne cvasti*,Cimozne cvasti,Cvast monhazija
31,Do redukcije broja hromozoma sa diploidnog na haploidni dolazi tokom?,Mitoze,Mejoze I*,Amitoze,Mejoze II
32,U abiotičke ekološke faktore spadaju?,Hemizam sredine i orografski faktori,"Fitogeni, zoogeni i antropogeni","Hemizam sredine, klimatski, edafski i orograski faktori*","Virogeni, fitogeni, zoogeni i antropogeni"
33,Klasa Phycomycetes se odlikuje?,Zoosporama,Septiranim hifama,Ne septiranim hifama*,Zoosporama i septiranim hifama
34,Fenotip nastaje na bazi?,Norme reakcije,Sredine,Interakcije genotipa i sredine*,Genotipa
35,Predstavnici klase Cestodes (Pantljičare)?,Imaju krvni i respiratorni sistem,Nemaju krvni i respiratorni sistem*,Imaju samo respiratorni sistem,Imaju samo krvni sistem
36,Fenotip predstavlja?,Skup gena u gametima,Sveukupnost naslednih činilaca,Spoljašni izgled organizma*,Spektar mogućih fenotipova
37,Nauka koja se bavi proučavanjem insekata naziva se?,Ornistologija,Entomologija*,Mikrobiologija,Akarologija
38,Sisari (Mammalia) vode poreklo od primitivnih?,Gmizavaca*,Vodozemaca,Insekata,Sunđera
39,Kalus predstavlja?,Traumatični meristem*,Interkalarni meristem,Apikalni meristem,Lateralni meristem
40,Prednji udovi ptica (Aves) prilagođeni su za?,Plivanje,Letenje*,Hodanje,Trčanje
41,Glavonošci (Cephaloda) spadaju u?,Morske životinje*,Kopnene životinje,Slatkovodne životinje,Morske i slatkovodne životinje
42,Poliploidija spada u?,Mutacije broja hromozoma*,Mutacije strukture hromozoma,Mutacije gena,Vanhromozomske mutacije
43,U racemozne cvasti spadaju?,Monohazija,Plejohazija,Dihazija,"Grozd, klas, štit i glavica*"
44,Sekundarna građa stabla nastaje radom?,Kambijuma*,Felogena,Kambijuma i felogena,Apikalnog meristema
45,Pod neposrednim uticajem faktora spoljašnje sredine dolazi do fenotipskih promena koje se označavaju kao?,Modifikacije*,Norma reakcije,Interverzije,Mutacije
46,Rotacionim kretanjem citoplazme odlikuju se ćelije?,Sa jednom vakuolom*,Sa više vakuola,Bez vakuola,Sa više mitohondrija
47,Provodnu ulogu kod lišćara vode?,Ćelije pratilice,Traheje*,Traheide,Sitaste cevi
48,Osnovni elementi ksilema su?,Ćelije pratilice,Traheje,Traheide*,Sitaste cevi
49,Koštano tkivo postoji kod?,Kičmenjaka*,Insekata,Vodozemaca,Gmizavaca
50,Somatske ćelije se odlikuju?,Tetraploidnim brojem hromozoma,Diploidnim brojem hromozoma*,Triploidnim brojem hromozoma,Haploidnim brojem hromozoma
51,Teoriju evolucije je formirao?,Aristotel,Karl Line,Čarsl Darvin*,Aleksandar Fleming
52,Ribe (Pisces) su?,Slatkovodne životinje,Morske životinje,Slatkovodne i morske životinje*,Kopnene životinje
53,Skelet insekata čini?,Koža*,Kičma,Krvna tečnost,Horda
54,Norma reakcije je?,Skup gena u gametima,Sveukupnost naslednih činilaca,Spoljašni izgled organizma,Spektar mogućih fenotipova*
55,Pod disanjem biljaka se podrazumeva?,Niz oksidativno-redukcionih procesa pri kojima se oslobađa energija*,Niz oksidativno-redukcionih procesa pri kojima se troši energija,Niz oksidativnih procesa,Niz redukcionih procesa pri kojima se oslobađa energija
56,Homologi hromozomi vode poreklo od?,Majke,Oca,"Jedan od majke, jedan od oca*",Od bližih predaka
57,Segregacija fenotipova u F2 generaciji kod monohibridnog nasleđivanja bez potpunom dominacijom je?,1  : 2 : 1*,3 : 1,1  : 1,1  : 2 : 1
58,Korenske dlačice nastaju?,Izduživanjem ćelija egzodermisa,Izduživanjem ćelija epiblema*,Izduživanjem ćelija pericikla,Od ćelija primarne kore
